"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1172","Увеличение количества товара в корзине","Step 4.Tests","Thu Sep 12 12:24:30 MSK 2024","passed","Thu Sep 12 12:24:32 MSK 2024","","test_api","",""
"","282","Добавление товара в корзину","Step 4.Tests","Thu Sep 12 12:24:16 MSK 2024","passed","Thu Sep 12 12:24:16 MSK 2024","","test_api","",""
"","4015","Увеличение количества товара в корзине","Step 4.Tests","Thu Sep 12 12:26:22 MSK 2024","passed","Thu Sep 12 12:26:26 MSK 2024","","test_ui","",""
"","5961","Уменьшение количества товара в корзине","Step 4.Tests","Thu Sep 12 12:27:02 MSK 2024","passed","Thu Sep 12 12:27:08 MSK 2024","","test_ui","",""
"","3704","Добавление товара в корзину","Step 4.Tests","Thu Sep 12 12:25:51 MSK 2024","passed","Thu Sep 12 12:25:55 MSK 2024","","test_ui","",""
"","2830","Удаление товара из корзине","Step 4.Tests","Thu Sep 12 12:27:31 MSK 2024","passed","Thu Sep 12 12:27:34 MSK 2024","","test_ui","",""
"","827","Уменьшение количества товара в корзине","Step 4.Tests","Thu Sep 12 12:25:02 MSK 2024","passed","Thu Sep 12 12:25:03 MSK 2024","","test_api","",""
"","697","Удаление товара из корзине","Step 4.Tests","Thu Sep 12 12:25:17 MSK 2024","passed","Thu Sep 12 12:25:18 MSK 2024","","test_api","",""
